data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-11-04,84,084001,Agrigento,Agrigento,44485,43118,50805
2021-11-04,84,084002,Agrigento,Alessandria della Rocca,2059,2016,2430
2021-11-04,84,084003,Agrigento,Aragona,7258,7071,8182
2021-11-04,84,084004,Agrigento,Bivona,2665,2606,3115
2021-11-04,84,084005,Agrigento,Burgio,2120,2087,2365
2021-11-04,84,084006,Agrigento,Calamonaci,905,884,1123
2021-11-04,84,084007,Agrigento,Caltabellotta,2634,2560,3097
2021-11-04,84,084008,Agrigento,Camastra,1440,1388,1806
2021-11-04,84,084009,Agrigento,Cammarata,4751,4617,5377
2021-11-04,84,084010,Agrigento,Campobello di Licata,7077,6888,8375
2021-11-04,84,084011,Agrigento,Canicattì,25047,24107,30895
2021-11-04,84,084012,Agrigento,Casteltermini,5929,5797,6905
2021-11-04,84,084013,Agrigento,Castrofilippo,1896,1830,2390
2021-11-04,84,084014,Agrigento,Cattolica Eraclea,2525,2416,3115
2021-11-04,84,084015,Agrigento,Cianciana,2620,2555,2996
2021-11-04,84,084016,Agrigento,Comitini,756,736,800
2021-11-04,84,084017,Agrigento,Favara,24902,24092,28912
2021-11-04,84,084018,Agrigento,Grotte,4186,4096,4836
2021-11-04,84,084019,Agrigento,Joppolo Giancaxio,849,826,1019
2021-11-04,84,084020,Agrigento,Lampedusa e Linosa,4621,4319,5747
2021-11-04,84,084021,Agrigento,Licata,24091,22746,31799
2021-11-04,84,084022,Agrigento,Lucca Sicula,1397,1360,1530
2021-11-04,84,084023,Agrigento,Menfi,9183,8880,10886
2021-11-04,84,084024,Agrigento,Montallegro,1814,1773,2167
2021-11-04,84,084025,Agrigento,Montevago,2209,2156,2528
2021-11-04,84,084026,Agrigento,Naro,5269,5072,6554
2021-11-04,84,084027,Agrigento,Palma di Montechiaro,14046,13128,18884
2021-11-04,84,084028,Agrigento,Porto Empedocle,11770,11360,14243
2021-11-04,84,084029,Agrigento,Racalmuto,5823,5678,6942
2021-11-04,84,084030,Agrigento,Raffadali,9677,9425,11105
2021-11-04,84,084031,Agrigento,Ravanusa,7008,6693,9735
2021-11-04,84,084032,Agrigento,Realmonte,3375,3275,3939
2021-11-04,84,084033,Agrigento,Ribera,13486,13085,16242
2021-11-04,84,084034,Agrigento,Sambuca di Sicilia,4528,4388,5034
2021-11-04,84,084035,Agrigento,San Biagio Platani,2328,2230,2738
2021-11-04,84,084036,Agrigento,San Giovanni Gemini,5933,5791,6925
2021-11-04,84,084037,Agrigento,Santa Elisabetta,1734,1680,1986
2021-11-04,84,084038,Agrigento,Santa Margherita di Belice,4818,4675,5632
2021-11-04,84,084039,Agrigento,Sant'Angelo Muxaro,910,863,1092
2021-11-04,84,084040,Agrigento,Santo Stefano Quisquina,3463,3371,3940
2021-11-04,84,084041,Agrigento,Sciacca,32079,31394,35163
2021-11-04,84,084042,Agrigento,Siculiana,3177,3094,3836
2021-11-04,84,084043,Agrigento,Villafranca Sicula,1084,1058,1215
2021-11-04,85,085001,Caltanissetta,Acquaviva Platani,775,758,816
2021-11-04,85,085002,Caltanissetta,Bompensiere,428,406,478
2021-11-04,85,085003,Caltanissetta,Butera,2838,2706,3902
2021-11-04,85,085004,Caltanissetta,Caltanissetta,44773,43174,53659
2021-11-04,85,085005,Caltanissetta,Campofranco,2085,2012,2594
2021-11-04,85,085006,Caltanissetta,Delia,2840,2693,3564
2021-11-04,85,085007,Caltanissetta,Gela,48064,45023,63754
2021-11-04,85,085008,Caltanissetta,Marianopoli,1082,991,1545
2021-11-04,85,085009,Caltanissetta,Mazzarino,7895,7422,10169
2021-11-04,85,085010,Caltanissetta,Milena,2317,2265,2617
2021-11-04,85,085011,Caltanissetta,Montedoro,1124,1090,1332
2021-11-04,85,085012,Caltanissetta,Mussomeli,8078,7875,9169
2021-11-04,85,085013,Caltanissetta,Niscemi,17604,16631,22738
2021-11-04,85,085014,Caltanissetta,Resuttano,1488,1441,1679
2021-11-04,85,085015,Caltanissetta,Riesi,7323,6938,9636
2021-11-04,85,085016,Caltanissetta,San Cataldo,16119,15510,18658
2021-11-04,85,085017,Caltanissetta,Santa Caterina Villarmosa,3830,3671,4485
2021-11-04,85,085018,Caltanissetta,Serradifalco,4381,4220,5203
2021-11-04,85,085019,Caltanissetta,Sommatino,4862,4709,5944
2021-11-04,85,085020,Caltanissetta,Sutera,1021,1006,1152
2021-11-04,85,085021,Caltanissetta,Vallelunga Pratameno,2249,2154,2925
2021-11-04,85,085022,Caltanissetta,Villalba,1082,1050,1356
2021-11-04,87,087001,Catania,Aci Bonaccorsi,2349,2241,3145
2021-11-04,87,087002,Catania,Aci Castello,12068,11619,15976
2021-11-04,87,087003,Catania,Aci Catena,17588,16547,24380
2021-11-04,87,087005,Catania,Aci Sant'Antonio,11493,10912,15690
2021-11-04,87,087004,Catania,Acireale,34257,32465,45713
2021-11-04,87,087006,Catania,Adrano,21293,19857,29492
2021-11-04,87,087007,Catania,Belpasso,17459,16470,23880
2021-11-04,87,087008,Catania,Biancavilla,15988,15193,19977
2021-11-04,87,087009,Catania,Bronte,13347,12740,16520
2021-11-04,87,087010,Catania,Calatabiano,3451,3221,4647
2021-11-04,87,087011,Catania,Caltagirone,27216,26002,32208
2021-11-04,87,087012,Catania,Camporotondo Etneo,2918,2697,4264
2021-11-04,87,087013,Catania,Castel di Iudica,2804,2575,3947
2021-11-04,87,087014,Catania,Castiglione di Sicilia,2113,1966,2717
2021-11-04,87,087015,Catania,Catania,226484,213798,262651
2021-11-04,87,087016,Catania,Fiumefreddo di Sicilia,5936,5603,8226
2021-11-04,87,087017,Catania,Giarre,18332,17502,23989
2021-11-04,87,087018,Catania,Grammichele,8941,8466,11395
2021-11-04,87,087019,Catania,Gravina di Catania,15686,14986,22518
2021-11-04,87,087020,Catania,Licodia Eubea,2100,2004,2681
2021-11-04,87,087021,Catania,Linguaglossa,3684,3551,4611
2021-11-04,87,087022,Catania,Maletto,2833,2738,3289
2021-11-04,87,087057,Catania,Maniace,2225,1989,3174
2021-11-04,87,087023,Catania,Mascali,8991,8474,12382
2021-11-04,87,087024,Catania,Mascalucia,19436,18490,27107
2021-11-04,87,087056,Catania,Mazzarrone,2835,2670,3425
2021-11-04,87,087025,Catania,Militello in Val di Catania,4699,4522,6287
2021-11-04,87,087026,Catania,Milo,771,748,943
