data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-11-17,84,084001,Agrigento,Agrigento,44698,43550,50805
2021-11-17,84,084002,Agrigento,Alessandria della Rocca,2063,2029,2430
2021-11-17,84,084003,Agrigento,Aragona,7275,7127,8182
2021-11-17,84,084004,Agrigento,Bivona,2679,2619,3115
2021-11-17,84,084005,Agrigento,Burgio,2120,2091,2365
2021-11-17,84,084006,Agrigento,Calamonaci,908,889,1123
2021-11-17,84,084007,Agrigento,Caltabellotta,2644,2576,3097
2021-11-17,84,084008,Agrigento,Camastra,1449,1405,1806
2021-11-17,84,084009,Agrigento,Cammarata,4764,4649,5377
2021-11-17,84,084010,Agrigento,Campobello di Licata,7113,6957,8375
2021-11-17,84,084011,Agrigento,Canicattì,25241,24534,30895
2021-11-17,84,084012,Agrigento,Casteltermini,5946,5837,6905
2021-11-17,84,084013,Agrigento,Castrofilippo,1908,1856,2390
2021-11-17,84,084014,Agrigento,Cattolica Eraclea,2552,2468,3115
2021-11-17,84,084015,Agrigento,Cianciana,2624,2570,2996
2021-11-17,84,084016,Agrigento,Comitini,758,740,800
2021-11-17,84,084017,Agrigento,Favara,24997,24266,28912
2021-11-17,84,084018,Agrigento,Grotte,4209,4126,4836
2021-11-17,84,084019,Agrigento,Joppolo Giancaxio,854,831,1019
2021-11-17,84,084020,Agrigento,Lampedusa e Linosa,4643,4388,5747
2021-11-17,84,084021,Agrigento,Licata,24374,23360,31799
2021-11-17,84,084022,Agrigento,Lucca Sicula,1402,1367,1530
2021-11-17,84,084023,Agrigento,Menfi,9245,9007,10886
2021-11-17,84,084024,Agrigento,Montallegro,1823,1788,2167
2021-11-17,84,084025,Agrigento,Montevago,2217,2174,2528
2021-11-17,84,084026,Agrigento,Naro,5314,5166,6554
2021-11-17,84,084027,Agrigento,Palma di Montechiaro,14205,13570,18884
2021-11-17,84,084028,Agrigento,Porto Empedocle,11825,11497,14243
2021-11-17,84,084029,Agrigento,Racalmuto,5854,5727,6942
2021-11-17,84,084030,Agrigento,Raffadali,9727,9479,11105
2021-11-17,84,084031,Agrigento,Ravanusa,7065,6814,9735
2021-11-17,84,084032,Agrigento,Realmonte,3388,3303,3939
2021-11-17,84,084033,Agrigento,Ribera,13565,13227,16242
2021-11-17,84,084034,Agrigento,Sambuca di Sicilia,4543,4408,5034
2021-11-17,84,084035,Agrigento,San Biagio Platani,2343,2257,2738
2021-11-17,84,084036,Agrigento,San Giovanni Gemini,5962,5834,6925
2021-11-17,84,084037,Agrigento,Santa Elisabetta,1739,1693,1986
2021-11-17,84,084038,Agrigento,Santa Margherita di Belice,4831,4720,5632
2021-11-17,84,084039,Agrigento,Sant'Angelo Muxaro,914,897,1092
2021-11-17,84,084040,Agrigento,Santo Stefano Quisquina,3486,3408,3940
