data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-11-26,84,084001,Agrigento,Agrigento,44830,43769,50805
2021-11-26,84,084002,Agrigento,Alessandria della Rocca,2066,2032,2430
2021-11-26,84,084003,Agrigento,Aragona,7300,7148,8182
2021-11-26,84,084004,Agrigento,Bivona,2686,2624,3115
2021-11-26,84,084005,Agrigento,Burgio,2123,2092,2365
2021-11-26,84,084006,Agrigento,Calamonaci,909,893,1123
2021-11-26,84,084007,Agrigento,Caltabellotta,2648,2576,3097
2021-11-26,84,084008,Agrigento,Camastra,1466,1415,1806
2021-11-26,84,084009,Agrigento,Cammarata,4776,4668,5377
2021-11-26,84,084010,Agrigento,Campobello di Licata,7128,6988,8375
2021-11-26,84,084011,Agrigento,Canicattì,25346,24673,30895
2021-11-26,84,084012,Agrigento,Casteltermini,5949,5850,6905
2021-11-26,84,084013,Agrigento,Castrofilippo,1913,1863,2390
2021-11-26,84,084014,Agrigento,Cattolica Eraclea,2561,2489,3115
2021-11-26,84,084015,Agrigento,Cianciana,2625,2570,2996
2021-11-26,84,084016,Agrigento,Comitini,760,742,800
2021-11-26,84,084017,Agrigento,Favara,25067,24358,28912
2021-11-26,84,084018,Agrigento,Grotte,4226,4151,4836
2021-11-26,84,084019,Agrigento,Joppolo Giancaxio,854,834,1019
2021-11-26,84,084020,Agrigento,Lampedusa e Linosa,4655,4409,5747
2021-11-26,84,084021,Agrigento,Licata,24517,23528,31799
2021-11-26,84,084022,Agrigento,Lucca Sicula,1404,1369,1530
2021-11-26,84,084023,Agrigento,Menfi,9284,9040,10886
2021-11-26,84,084024,Agrigento,Montallegro,1827,1800,2167
2021-11-26,84,084025,Agrigento,Montevago,2224,2176,2528
2021-11-26,84,084026,Agrigento,Naro,5351,5206,6554
2021-11-26,84,084027,Agrigento,Palma di Montechiaro,14288,13697,18884
2021-11-26,84,084028,Agrigento,Porto Empedocle,11862,11547,14243
2021-11-26,84,084029,Agrigento,Racalmuto,5869,5739,6942
2021-11-26,84,084030,Agrigento,Raffadali,9745,9500,11105
2021-11-26,84,084031,Agrigento,Ravanusa,7115,6861,9735
2021-11-26,84,084032,Agrigento,Realmonte,3394,3311,3939
2021-11-26,84,084033,Agrigento,Ribera,13598,13279,16242
2021-11-26,84,084034,Agrigento,Sambuca di Sicilia,4550,4417,5034
2021-11-26,84,084035,Agrigento,San Biagio Platani,2363,2270,2738
2021-11-26,84,084036,Agrigento,San Giovanni Gemini,5986,5849,6925
2021-11-26,84,084037,Agrigento,Santa Elisabetta,1739,1700,1986
2021-11-26,84,084038,Agrigento,Santa Margherita di Belice,4838,4743,5632
2021-11-26,84,084039,Agrigento,Sant'Angelo Muxaro,914,898,1092
2021-11-26,84,084040,Agrigento,Santo Stefano Quisquina,3493,3416,3940
2021-11-26,84,084041,Agrigento,Sciacca,32237,31685,35163
2021-11-26,84,084042,Agrigento,Siculiana,3196,3128,3836
2021-11-26,84,084043,Agrigento,Villafranca Sicula,1089,1066,1215
2021-11-26,85,085001,Caltanissetta,Acquaviva Platani,779,763,816
2021-11-26,85,085002,Caltanissetta,Bompensiere,430,419,478
2021-11-26,85,085003,Caltanissetta,Butera,2876,2764,3902
2021-11-26,85,085004,Caltanissetta,Caltanissetta,45267,44059,53659
2021-11-26,85,085005,Caltanissetta,Campofranco,2102,2057,2594
2021-11-26,85,085006,Caltanissetta,Delia,2875,2786,3564
2021-11-26,85,085007,Caltanissetta,Gela,48740,46209,63754
2021-11-26,85,085008,Caltanissetta,Marianopoli,1093,1038,1545
2021-11-26,85,085009,Caltanissetta,Mazzarino,7972,7550,10169
2021-11-26,85,085010,Caltanissetta,Milena,2323,2277,2617
2021-11-26,85,085011,Caltanissetta,Montedoro,1130,1107,1332
2021-11-26,85,085012,Caltanissetta,Mussomeli,8108,8009,9169
2021-11-26,85,085013,Caltanissetta,Niscemi,17763,16988,22738
2021-11-26,85,085014,Caltanissetta,Resuttano,1501,1468,1679
2021-11-26,85,085015,Caltanissetta,Riesi,7442,7152,9636
2021-11-26,85,085016,Caltanissetta,San Cataldo,16264,15811,18658
2021-11-26,85,085017,Caltanissetta,Santa Caterina Villarmosa,3854,3730,4485
2021-11-26,85,085018,Caltanissetta,Serradifalco,4433,4316,5203
2021-11-26,85,085019,Caltanissetta,Sommatino,4912,4790,5944
2021-11-26,85,085020,Caltanissetta,Sutera,1024,1009,1152
2021-11-26,85,085021,Caltanissetta,Vallelunga Pratameno,2267,2184,2925
2021-11-26,85,085022,Caltanissetta,Villalba,1091,1061,1356
2021-11-26,87,087001,Catania,Aci Bonaccorsi,2407,2335,3145
2021-11-26,87,087002,Catania,Aci Castello,12254,11880,15976
2021-11-26,87,087003,Catania,Aci Catena,17939,17281,24380
2021-11-26,87,087005,Catania,Aci Sant'Antonio,11731,11355,15690
2021-11-26,87,087004,Catania,Acireale,34980,33709,45713
2021-11-26,87,087006,Catania,Adrano,21868,20901,29492
2021-11-26,87,087007,Catania,Belpasso,17779,17143,23880
2021-11-26,87,087008,Catania,Biancavilla,16301,15734,19977
2021-11-26,87,087009,Catania,Bronte,13617,13191,16520
2021-11-26,87,087010,Catania,Calatabiano,3500,3362,4647
2021-11-26,87,087011,Catania,Caltagirone,27535,26742,32208
2021-11-26,87,087012,Catania,Camporotondo Etneo,2992,2845,4264
2021-11-26,87,087013,Catania,Castel di Iudica,2879,2721,3947
2021-11-26,87,087014,Catania,Castiglione di Sicilia,2147,2045,2717
2021-11-26,87,087015,Catania,Catania,230424,221704,262651
2021-11-26,87,087016,Catania,Fiumefreddo di Sicilia,6054,5847,8226
2021-11-26,87,087017,Catania,Giarre,18673,18021,23989
2021-11-26,87,087018,Catania,Grammichele,9044,8745,11395
2021-11-26,87,087019,Catania,Gravina di Catania,15895,15420,22518
2021-11-26,87,087020,Catania,Licodia Eubea,2138,2044,2681
2021-11-26,87,087021,Catania,Linguaglossa,3727,3636,4611
2021-11-26,87,087022,Catania,Maletto,2887,2817,3289
2021-11-26,87,087057,Catania,Maniace,2295,2182,3174
2021-11-26,87,087023,Catania,Mascali,9215,8818,12382
2021-11-26,87,087024,Catania,Mascalucia,19785,19119,27107
2021-11-26,87,087056,Catania,Mazzarrone,2888,2788,3425
2021-11-26,87,087025,Catania,Militello in Val di Catania,4758,4654,6287
2021-11-26,87,087026,Catania,Milo,774,765,943
2021-11-26,87,087027,Catania,Mineo,3415,3317,4219
2021-11-26,87,087028,Catania,Mirabella Imbaccari,3090,2962,3920
2021-11-26,87,087029,Catania,Misterbianco,29244,28077,42599
2021-11-26,87,087030,Catania,Motta Sant'Anastasia,7645,7357,10564
2021-11-26,87,087031,Catania,Nicolosi,4786,4568,6633
2021-11-26,87,087032,Catania,Palagonia,10192,9636,14012
2021-11-26,87,087033,Catania,Paternò,30867,29636,40370
2021-11-26,87,087034,Catania,Pedara,9013,8687,12811
2021-11-26,87,087035,Catania,Piedimonte Etneo,2668,2581,3630
2021-11-26,87,087036,Catania,Raddusa,2039,1947,2579
2021-11-26,87,087058,Catania,Ragalna,2435,2365,3612
2021-11-26,87,087037,Catania,Ramacca,7288,6898,9184
2021-11-26,87,087038,Catania,Randazzo,7520,7247,9496
2021-11-26,87,087039,Catania,Riposto,9477,9086,12627
2021-11-26,87,087040,Catania,San Cono,1832,1750,2265
2021-11-26,87,087041,Catania,San Giovanni la Punta,15445,15035,20274
2021-11-26,87,087042,Catania,San Gregorio di Catania,7978,7793,10181
2021-11-26,87,087043,Catania,San Michele di Ganzaria,2112,2033,2816
2021-11-26,87,087044,Catania,San Pietro Clarenza,4839,4667,6836
2021-11-26,87,087047,Catania,Santa Maria di Licodia,4675,4499,6459
2021-11-26,87,087048,Catania,Santa Venerina,5506,5264,7499
2021-11-26,87,087045,Catania,Sant'Agata li Battiati,6326,6197,8408
2021-11-26,87,087046,Catania,Sant'Alfio,1031,1000,1381
2021-11-26,87,087049,Catania,Scordia,12310,11949,14584
2021-11-26,87,087050,Catania,Trecastagni,7262,6969,9795
2021-11-26,87,087051,Catania,Tremestieri Etneo,13044,12648,17781
2021-11-26,87,087052,Catania,Valverde,5164,5004,6906
2021-11-26,87,087053,Catania,Viagrande,5798,5608,7614
2021-11-26,87,087054,Catania,Vizzini,4465,4308,5253
2021-11-26,87,087055,Catania,Zafferana Etnea,6279,6047,8386
2021-11-26,86,086001,Enna,Agira,5216,5019,6999
2021-11-26,86,086002,Enna,Aidone,3414,3330,4147
2021-11-26,86,086003,Enna,Assoro,3506,3427,4482
2021-11-26,86,086004,Enna,Barrafranca,8393,8084,10740
2021-11-26,86,086005,Enna,Calascibetta,3284,3238,3779
2021-11-26,86,086006,Enna,Catenanuova,3120,3030,4091
2021-11-26,86,086007,Enna,Centuripe,3731,3625,4711
2021-11-26,86,086008,Enna,Cerami,1560,1518,1712
2021-11-26,86,086009,Enna,Enna,21011,20595,23787
2021-11-26,86,086010,Enna,Gagliano Castelferrato,2593,2536,3134
2021-11-26,86,086011,Enna,Leonforte,9746,9490,11409
2021-11-26,86,086012,Enna,Nicosia,10153,9982,11936
2021-11-26,86,086013,Enna,Nissoria,1955,1910,2592
2021-11-26,86,086014,Enna,Piazza Armerina,14928,14576,18923
2021-11-26,86,086015,Enna,Pietraperzia,4816,4713,5818
2021-11-26,86,086016,Enna,Regalbuto,5013,4873,6150
2021-11-26,86,086017,Enna,Sperlinga,575,565,647
2021-11-26,86,086018,Enna,Troina,6993,6840,8006
2021-11-26,86,086019,Enna,Valguarnera Caropepe,5162,5050,6438
2021-11-26,86,086020,Enna,Villarosa,3484,3415,4053
2021-11-26,83,083107,Messina,Acquedolci,3916,3782,4960
2021-11-26,83,083001,Messina,Alcara li Fusi,1476,1437,1679
2021-11-26,83,083002,Messina,Alì,348,337,611
2021-11-26,83,083003,Messina,Alì Terme,1446,1391,2152
2021-11-26,83,083004,Messina,Antillo,605,578,753
2021-11-26,83,083005,Messina,Barcellona Pozzo di Gotto,29314,28500,35854
2021-11-26,83,083006,Messina,Basicò,405,388,521
2021-11-26,83,083007,Messina,Brolo,4584,4511,5170
2021-11-26,83,083008,Messina,Capizzi,1911,1844,2538
2021-11-26,83,083009,Messina,Capo d'Orlando,9853,9628,11936
2021-11-26,83,083010,Messina,Capri Leone,3136,3052,3905
2021-11-26,83,083011,Messina,Caronia,2336,2280,2809
2021-11-26,83,083012,Messina,Casalvecchio Siculo,509,499,689
2021-11-26,83,083013,Messina,Castel di Lucio,971,937,1088
2021-11-26,83,083014,Messina,Castell'Umberto,1986,1916,2682
2021-11-26,83,083015,Messina,Castelmola,639,621,984
2021-11-26,83,083016,Messina,Castroreale,1619,1587,2059
2021-11-26,83,083017,Messina,Cesarò,1638,1569,1977
2021-11-26,83,083018,Messina,Condrò,289,284,410
2021-11-26,83,083019,Messina,Falcone,1993,1943,2460
2021-11-26,83,083020,Messina,Ficarra,1079,1054,1259
2021-11-26,83,083021,Messina,Fiumedinisi,604,570,1156
2021-11-26,83,083022,Messina,Floresta,304,295,419
2021-11-26,83,083023,Messina,Fondachelli-Fantina,722,702,939
2021-11-26,83,083024,Messina,Forza d'Agrò,597,581,778
2021-11-26,83,083025,Messina,Francavilla di Sicilia,2565,2450,3277
2021-11-26,83,083026,Messina,Frazzanò,478,473,551
2021-11-26,83,083027,Messina,Furci Siculo,2101,2039,2888
2021-11-26,83,083028,Messina,Furnari,2441,2361,3483
2021-11-26,83,083029,Messina,Gaggi,1846,1750,2754
2021-11-26,83,083030,Messina,Galati Mamertino,1857,1787,2225
2021-11-26,83,083031,Messina,Gallodoro,238,236,319
2021-11-26,83,083032,Messina,Giardini-Naxos,5826,5544,8377
2021-11-26,83,083033,Messina,Gioiosa Marea,4629,4500,6242
2021-11-26,83,083034,Messina,Graniti,990,954,1307
2021-11-26,83,083035,Messina,Gualtieri Sicaminò,1062,1024,1471
2021-11-26,83,083036,Messina,Itala,812,776,1370
2021-11-26,83,083037,Messina,Leni,421,410,620
